Item ID,Barcode / gtin,Google Category,Google Sub Category,Google third layer Category,Product Name,Product Category,,,,,,,,,,
6374a2bd6400160025944572,83530011,string:health_beauty,string:personal_care,string:cosmetics,[贈品] APS 香水體驗裝,,,,,,,,,,,
61dd6586654665002f94fa56,4.57003E+12,string:food_beverages_tobacco,string:food_items,string:candy_chocolate,【2022 情人節限定】TENGA 飛機杯造型 牛奶朱古力,,,,,,,,,,,
61dd6586654665002f94fa56,4.57003E+12,string:food_beverages_tobacco,string:food_items,string:candy_chocolate,【2022 情人節限定】TENGA 飛機杯造型 牛奶朱古力,,,,,,,,,,,
61dd6586654665002f94fa56,4.57003E+12,string:food_beverages_tobacco,string:food_items,string:candy_chocolate,【2022 情人節限定】TENGA 飛機杯造型 牛奶朱古力,,,,,,,,,,,
63be65059ad855002018f86f,4.57003E+12,string:food_beverages_tobacco,string:food_items,string:candy_chocolate,【2023情人節限定】TENGA 飛機杯造型 牛奶朱古力 士多啤梨粒,,,,,,,,,,,
63be65059ad855002018f86f,4.57003E+12,string:food_beverages_tobacco,string:food_items,string:candy_chocolate,【2023情人節限定】TENGA 飛機杯造型 牛奶朱古力 脆脆可可,,,,,,,,,,,
63be65059ad855002018f86f,4.57003E+12,string:food_beverages_tobacco,string:food_items,string:candy_chocolate,【2023情人節限定】TENGA 飛機杯造型 牛奶朱古力 脆脆檸檬,,,,,,,,,,,
61a5fcb7315eef00208f3860,1.40836E+11,string:health_beauty,string:health_care,string:condoms,【Waddy出奇蛋】復活節安全套裝 (網店限定) 大支野 large 56mm - 58mm,,,,,,,,,,,
61a5fcb7315eef00208f3860,1.40836E+11,string:health_beauty,string:health_care,string:condoms,【Waddy出奇蛋】復活節安全套裝 (網店限定) 標準野 standard size 52mm - 55mm,,,,,,,,,,,
615d422aeb04df002a171061,5.06035E+12,string:mature,string:erotic,string:sex_toys,【入門級震鳩器】Hot Octopuss Pulse Duo 飛機杯,,,,,,,,,,,
63d1fd2d8d215b001eecb2d2,50849776,string:mature,string:erotic,string:sex_toys,【情人節限定預購】浪漫愛神維納斯套裝 (女女情侶) (網店限定),,,,,,,,,,,
63d1fd2d8d215b001eecb2d2,13656776,string:mature,string:erotic,string:sex_toys,【情人節限定預購】浪漫愛神維納斯套裝 (女女情侶) (網店限定),,,,,,,,,,,
63d1fb88d76afa001a514f20,49591091,string:mature,string:erotic,string:sex_toys,【情人節限定預購】浪漫愛神維納斯套裝 (男女情侶) (網店限定),,,,,,,,,,,
63d1fc7a58a65f00232a0e62,96912897,string:mature,string:erotic,string:sex_toys,【情人節限定預購】浪漫愛神維納斯套裝 (男女情侶) (網店限定),,,,,,,,,,,
63d1fc7a58a65f00232a0e62,55211642,string:mature,string:erotic,string:sex_toys,【情人節限定預購】浪漫愛神維納斯套裝 (男女情侶) (網店限定),,,,,,,,,,,
