Product ID (DO NOT EDIT),Product Name (English),Product Name (Traditional Chinese),Product Summary (English),Product Summary (Traditional Chinese),SEO Title (English),SEO Title (Traditional Chinese),SEO Description (English),SEO Description (Traditional Chinese),SEO Keywords,Hidden Product,Preorder Product,Preorder Note (English),Preorder Note (Traditional Chinese),Status,Brand,Hide Price,Regular Price,Sale Price,Product Retail Store Price,Member Price,Bronze Member Price,Silver Member Price,Gold Member Price,Unlimited Quantity,Same Price,Product Cost,SKU,Quantity (DO NOT EDIT),Update Quantity (e.g. +5 or -8),Weight(KG),Supplier,Product Tag,Variant ID (DO NOT EDIT),Variant (English) (DO NOT EDIT),Variant (Traditional Chinese) (DO NOT EDIT),Variant Quantity (DO NOT EDIT),Update Variant Quantity (e.g. +5 or -8),Variant Price,Variant Sale Price,Variant Retail Store Price,Variant Member Price,Variant Bronze Member Price,Variant Silver Member Price,Variant Gold Member Price,Variant Cost,Variant Weight(KG),Variant SKU,Location ID,MPN,Barcode,SL_STOCK_ID(DO NOT EDIT),Warehouse(DO NOT EDIT),SL_KEY0(DO NOT EDIT),SL_KEY1(DO NOT EDIT)
商品編號 （切勿更改),商品名稱 (英文),商品名稱 (繁體中文),商品摘要 (英文),商品摘要 (繁體中文),SEO標題 (英文),SEO標題 (繁體中文),SEO簡介 (英文),SEO簡介 (繁體中文),SEO關鍵字,隱藏商品,預購商品,預購提示 (英文),預購提示 (繁體中文),上架狀態,商品品牌,隱藏價格,商品原價,商品特價,實體店價格,商品會員價,銅級會員價,銀級會員價,金級會員價,無限數量,價格一致,商品成本,商品貨號,數量 (參考用，請勿修改),增減數量 (例: +5 或 -8),重量(公斤),供應商,商品管理標籤,款式編號 （切勿更改),款式 (英文) (勿更改),款式 (繁體中文) (勿更改),款式數量 (參考用，請勿修改),增減款式數量 (例: +5 或 -8),款式價格,款式特價,款式實體店價格,款式會員價,款式銅級會員價,款式銀級會員價,款式金級會員價,款式成本,款式重量(KG),款式貨號,儲位編號,製造編號,商品條碼編號,庫存參照值(切勿更改),出貨倉庫(參考用，請勿修改),商品名稱參照值0(切勿更改),商品名稱參照值1(切勿更改)
63be5feef602dc0017b76709,BESIRED Lora 2 Piece Set Black,BESIRED Lora 內衣套裝 黑色,,,BESIRED Lora 2 Piece Set Black,BESIRED Lora 內衣套裝 黑色,"Enjoy this fantastic and dazzling collection. Each piece is designed to make your body feel free and daring, the fabric has patterns that highlight your most sensual parts to make you feel irresistible. Come and dare to feel more ",享受這個奇妙而令人眼花繚亂的收藏。每件單品都旨在讓您的身體感到自由和大膽，面料上的圖案突出了您最性感的部位，讓您感到無法抗拒。快來感受比以往任何時候都更有吸引力和力量。這款令人驚嘆的內衣套裝露臍上衣是您衣櫥的必備單品。它完美貼合您的身體，柔軟而有彈性的面料也讓這款套裝非常適合日常穿著。帶孔的透明網狀圖案會讓您感覺非常靈活和性感。材質：92% 聚酰胺，8% 彈性纖維重量：45克,,N,N,,,N,BESIRED,N,168,0,,0,0,0,0,N,,50,WD0002520,4,+0,1,,,,,,,,,,,,,,,,,,,,8719934008656,63be5feef602dc0017b7670d,Primary,41dac4b319ecf1670673ec429e457fcd,69f67eff6d5b74869edfc8c338eb941c
63be65059ad855002018f86f,TENGA Valentine's Special shape Chocolate 2023 Edition,【2023情人節限定】TENGA 飛機杯造型 牛奶朱古力,"This year, ""TENGA Chocolate has updated the nostalgic packaging design and image visual effects with the concept of the nostalgic Giri TENGA theme ""Retro"". This is a 100% milk chocolate that focuses not only on design but also on taste.","今年情人節來了！非常受歡迎的 2023 限定版朱古力更美味的回歸！
享受三款更有口感更有味道的朱古力！
今年向你重視的人用TENGA朱古力表達你的感激之情！",Valentine's Special Tenga Chocolate,【2023情人節限定】TENGA 飛機杯造型 牛奶朱古力,,認識 TENGA 的人，大概都知道他們最經典的產品的造型。適逢 2 月 14 日情人節即將來臨，日本知名成人用品品牌 TENGA 情人節限定朱古力！ TENGA近年不斷推出其他產品，早前出過TENGA紙巾筒、TENGA紙巾帽同TENGA型花炮等特別周邊產品。繼上年TENGA情人節出過朱古力，反應相當良好，決定延續慨念今年又出朱古力。今年的朱古力是飛機杯造型的迷你牛奶含量豐富的朱古力，總共有三種口味選擇，分別有原味朱古力、士多啤梨及咖啡味。,"TENGA Valentine's Chocolate , Valentine's day, Valentine's day Chocolate, tenga, tenga chocolate",N,N,"Pre-order, start shipping from February 8 2023",預購中，預計 2023年2月中起發貨,Y,TENGA,N,79,68,,65,0,0,0,N,Y,30,,64,,1,,,63be65059ad855002018f869,Crispy Chocolate,脆脆可可,16,+0,價格一致,價格一致,價格一致,價格一致,價格一致,價格一致,價格一致,價格一致,1,WD0000004,,,4570030978830,63be65069ad855002018f879,Primary,4a287077c3ea77590e31e0c722dc53c4,98e068c665085e37e8a0fce496f33e60
63be65059ad855002018f86f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63be65059ad855002018f86a,Strawberry Granules,士多啤梨粒,20,+0,價格一致,價格一致,價格一致,價格一致,價格一致,價格一致,價格一致,價格一致,1,WD0000005,,,4570030978847,63be65069ad855002018f87e,Primary,8984ece6441a6aa73ee71df1e6545a05,480dd88a1c99246a1435cb49cf8170c3
63be65059ad855002018f86f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63be65059ad855002018f86b,Crispy Lemon,脆脆檸檬,28,+0,價格一致,價格一致,價格一致,價格一致,價格一致,價格一致,價格一致,價格一致,1,WD0000006,,,4570030978854,63be65069ad855002018f883,Primary,be7a8a8478f3653da189fe17d34866c4,b1b0319fcb535ad5703f89a6b3b20403
63be65850fbe66001a85ea4e,OUCH Costas 2 Chest Harness,OUCH Costas 2 胸帶,,,OUCH Costas 2 Chest Harness,OUCH Costas 2 胸帶,"Get a really good grip from all sides with this super-strong harness! With three big metal o-rings on the front as well as on the back, you are spoilt for choice when you want to hook up! At the back there 2 metals buckles for eas",使用這款超強的安全帶，從各個方面獲得真正的抓地力！正面和背面都有三個大金屬 O 形環，當您想要連接時，您有多種選擇！背面有 2 個金屬扣，可輕鬆調節至合適的尺寸。每個 O 形圈有 6 個鉚釘，使安全帶值得信賴且堅固！連接從未如此簡單！材料：皮革、金屬重量：584克,,N,N,,,N,OUCH,N,378,0,,0,0,0,0,N,,150,WD0002517,2,+0,1,,,,,,,,,,,,,,,,,,,,8714273291257,63be65860fbe66001a85ea52,Primary,299688d0d75f1c7ff6ab9569ba0a5524,5b1ff7735b8feb57b6e602253b25c4bf
63be67cdc0875a0011beec1c,OUCH Chara Breast Harness,OUCH Chara 胸帶,,,OUCH Chara Breast Harness,OUCH Chara 胸帶,"You will look tough as nails with this bonded leather strap, open cup bra, enhanced by a variety of metal accents! Three comfortable bonded leather straps, connected by big o-rings, form a supporting bra cup on each side. Both cup",穿上這款粘合皮革肩帶、開口胸罩，各種金屬點綴讓您看起來堅韌如釘！三個舒適的粘合皮革肩帶由大 O 形環連接，在每一側形成一個支撐文胸罩杯。兩個杯子都通過一條粘合皮革錶帶連接到一條性感的粘合皮革項鍊上。背面的肩帶可調節，完美貼合。你準備好迎接這個真正不修邊幅的合奏了嗎？,,N,N,,,N,OUCH,N,298,0,,0,0,0,0,N,,115.2,WD0002516,3,+0,1,,,,,,,,,,,,,,,,,,,,8714273291042,63be67cdc0875a0011beec20,Primary,7bd8d951fee1b61ba93ecb73f7d9ccc8,7dcc630ef6c7a7033fc076b8625a8028
63be696c88fe76000eb12b8f,OUCH Adonis Chest Harness,OUCH Adonis 胸帶,,,OUCH Adonis Chest Harness,OUCH Adonis 胸帶,"This beautiful harness will make you look the part for when it really matters! With 4 bonded leather straps connected at the front as well as at the back by 2 big o-rings, this harness is a feast for the eyes! The well crafted riv",這款漂亮的背帶會讓您在真正重要的時候看起來很重要！正面有 4 條粘合皮革肩帶，背面有 2 個大 O 形環，這款背帶絕對是視覺盛宴！優質粘合皮革錶帶上精心製作的鉚釘為這款漂亮的設備畫龍點睛！連接從未如此簡單！材料：皮革，金屬重量：380克,,N,N,,,N,OUCH,N,368,0,,0,0,0,0,N,,142,WD0002515,2,+0,1,,,,,,,,,,,,,,,,,,,,8714273291189,63be696c88fe76000eb12b93,Primary,019b49fdc2d64a6cf4f14a7f0abffdc8,108b0f300e4f3ffda2f659744493e449
63be6c72c2f4d10014c71e47,OUCH Claudia Bondage Harness,OUCH Claudia 束縛帶,,,OUCH Claudia Bondage Harness,OUCH Claudia 束縛帶,"Sometimes less is more, and this sexy bonded leather harness is there to prove it! With three horizontal leather straps, joined together with big metal o-rings at the front and the back by just one vertical bonded leather strap, t",有時少即是多，這款性感的粘合皮革背帶就是證明！三個皮革錶帶，僅通過一條垂直粘合皮革錶帶與正面和背面的大金屬 O 形環連接在一起，這個小數字非常有個性！作為畫龍點睛之筆，V 領帶同樣位於正面和背面，使這款不修邊幅的套裝更加完美！粘合皮革從未如此好看！材料：皮革，金屬重量：435克,,N,N,,,N,OUCH,N,418,0,,0,0,0,0,N,,164.34,WD0002514,3,+0,1,,,,,,,,,,,,,,,,,,,,8714273291110,63be6c73c2f4d10014c71e4b,Primary,3ce484338c4828d0a64ffa81271091af,4f970d978af3dc3a97b8e70a53e6078b
63be6ebe21e7ed000e658fe1,Ero by Hot Long Power Marathon Cream 30ml,Ero by Hot 持久延時增大膏 30ml,,,Ero by Hot Long Power Marathon Cream 30ml,Ero by Hot 持久延時增大膏 30ml,"What man doesnt want it? For more stamina &amp; power in erotic lovepla and for a fulfilling love life. Avoid contact with eyes. Discontinue use if redness, burning or irritation occurs. Do not use the product on damaged skin. The",哪個男人不想要？在色情愛情遊戲中獲得更多的耐力和力量，並獲得充實的愛情生活。避免接觸眼睛。如果出現發紅、灼痛或刺激，請停止使用。請勿在受損皮膚上使用該產品。期望的結果可能因人而異。成分：aqua（水）、鯨蠟硬脂醇異壬酸酯、鯨蠟硬脂醇、ceteareth-20、聚二甲基矽氧烷、甘油、棕櫚酸十六酯、普通小麥（小麥）胚芽油、香草基丁基醚、向日葵（向日葵）籽油、山梨糖醇、生育酚乙酸酯、丙烯乙二醇，黃原膠，亞油酸甘油酯，苯氧乙醇，甲基異噻唑啉酮，辣椒樹脂，辣椒提取物,,N,N,,,N,Ero by Hot,N,138,0,,0,0,0,0,N,,43,WD0002510,6,+0,1,,,,,,,,,,,,,,,,,,,,4042342002379,63be6ebf21e7ed000e658fe6,Primary,e175e74669f4b6113b88380f5944dbc8,1825c51627dae8803bc73ecc748de02a
