Product ID (DO NOT EDIT),Product Name (English),Product Name (Traditional Chinese),Product Summary (English),Product Summary (Traditional Chinese),SEO Title (English),SEO Title (Traditional Chinese),SEO Description (English),SEO Description (Traditional Chinese),SEO Keywords,Hidden Product,Preorder Product,Preorder Note (English),Preorder Note (Traditional Chinese),Status,Brand,Hide Price,Regular Price,Sale Price,Product Retail Store Price,Member Price,Bronze Member Price,Silver Member Price,Gold Member Price,批發商戶 Price,Unlimited Quantity,Same Price,Product Cost,SKU,Quantity (DO NOT EDIT),Update Quantity (e.g. +5 or -8),Weight(KG),Supplier,Product Tag,Variant ID (DO NOT EDIT),Variant (English) (DO NOT EDIT),Variant (Traditional Chinese) (DO NOT EDIT),Variant Quantity (DO NOT EDIT),Update Variant Quantity (e.g. +5 or -8),Variant Price,Variant Sale Price,Variant Retail Store Price,Variant Member Price,Variant Bronze Member Price,Variant Silver Member Price,Variant Gold Member Price,Variant 批發商戶 Price,Variant Cost,Variant Weight(KG),Variant SKU,Location ID,MPN,Barcode,SL_STOCK_ID(DO NOT EDIT),Warehouse(DO NOT EDIT),SL_KEY0(DO NOT EDIT),SL_KEY1(DO NOT EDIT)
商品編號 （切勿更改),商品名稱 (英文),商品名稱 (繁體中文),商品摘要 (英文),商品摘要 (繁體中文),SEO標題 (英文),SEO標題 (繁體中文),SEO簡介 (英文),SEO簡介 (繁體中文),SEO關鍵字,隱藏商品,預購商品,預購提示 (英文),預購提示 (繁體中文),上架狀態,商品品牌,隱藏價格,商品原價,商品特價,實體店價格,商品會員價,銅級會員價,銀級會員價,金級會員價,批發商戶價,無限數量,價格一致,商品成本,商品貨號,數量 (參考用，請勿修改),增減數量 (例: +5 或 -8),重量(公斤),供應商,商品管理標籤,款式編號 （切勿更改),款式 (英文) (勿更改),款式 (繁體中文) (勿更改),款式數量 (參考用，請勿修改),增減款式數量 (例: +5 或 -8),款式價格,款式特價,款式實體店價格,款式會員價,款式銅級會員價,款式銀級會員價,款式金級會員價,款式批發商戶價,款式成本,款式重量(KG),款式貨號,儲位編號,製造編號,商品條碼編號,庫存參照值(切勿更改),出貨倉庫(參考用，請勿修改),商品名稱參照值0(切勿更改),商品名稱參照值1(切勿更改)
604af686bbc168002fc58060,SN-126 Fresh Flowers on Brocade,SN-126 錦上生花,,,NT-152 Fresh Flowers on Brocade,SN-126 錦上生花,,NT-126 錦上生花 大小：一個尺寸適合所有人,"NT-126 錦上生花情趣內衣, 旗袍款情趣內衣, 性感內衣用品, Naughty Clothes, NT-126 錦上生花, 旗袍, 旗袍情趣內衣",N,N,,,Y,Spickini,N,159,0,,0,0,0,0,0,N,,68.5,,2,+0,1,,,,,,,,,,,,,,,,,,,,,97187748,604af686bbc168002fc58064,Primary,fa9cfa3855404d05f02f83fe87f4b422,ac65a519d5c1dfda6ece604abc31011d
604afc87e959df0026e9e8a9,SN-137 Lace Jacket with T-BACK,SN-137 蕾絲外套連T-BACK,,,SN-137 Lace Jacket with T-BACK,SN-137 蕾絲外套連T-BACK,,SN-137 蕾絲外套連T-BACK 大小：一個尺寸適合所有人,"SN-137 蕾絲外套連T-BACK 情趣內衣, 蕾絲珍珠吊墜開檔T-Back 內褲, 情趣內衣, 蕾絲, T-BACK, 蕾絲外套連T-BACK 情趣內衣, 蕾絲外套連T-BACK, Naughty Toys",N,N,,,Y,Sexy Night,N,145,0,,0,0,0,0,0,N,,51,,6,+0,1,,,,,,,,,,,,,,,,,,,,,98000196,604afc87e959df0026e9e8ad,Primary,f2429d962fce919777ed409440be695a,8b88986c41a1e014c91d10a0094fe1b7
604b1db3645e0e003e0ab957,NT-054 Transparent Skirt Student Suit Black,NT-054 透視短裙學生套裝 黑色,,,NT-054 Transparent Skirt Student Suit Black,NT-054 透視短裙學生套裝 黑色,,NT-054 透視短裙學生套裝 黑色 大小：一個尺寸適合所有人,"NT-054 透視短裙學生套裝 黑色, 短裙學生裝,  性感學生制服誘惑套裝, 情趣內衣, 學生情趣內衣",N,N,,,Y,,N,155,134.4,,0,0,0,0,0,N,,64,NT-054,0,+0,1,,,,,,,,,,,,,,,,,,,,,73259555,604b1db3645e0e003e0ab95c,Primary,da0a314aa77165fb6a2585f8ef0be539,187d71aec2595c038f8aa5c4e0b8b3ac
604b23371f356a0026999abe,SSI Japan Sizegain Second Generation Men Enlargement Cream,SSI Japan 絕對增大軟膏 第2代 巨根 膨張の極【男性用】,,,SSI Japan Giant Extremely Bulginess Second Generation M,SSI Japan 絕對增大軟膏 第2代 巨根 膨張の極【男性用】,,"令男性機能究極覺醒,釋放潛蔵的最強野獣，日本職人嚴選天然成份以黃金比例配製而成，先清潔身體，於性愛前5-10分鐘將適量塗擦於男性龜頭及陰莖再進行按摩令其滲透可以影響海綿體，可以提高男性的勃起，將比平常更硬朗膨漲,化身巨根!!!無味無臭，以小型容器盛裝易於收藏和攜帶。日本製造值得信賴。特點：-增加男性硬度和膨漲-天然成份注意事項-效果因不同體質而異規格：-封裝尺寸：H88×W50×D25mm-總重量：30克-商品尺寸：H23×W39×D39mm-容量12g-","SSI Japan 巨根增大の極男士增大膏, 日本SSI - 巨根増大の極男士增大膏, SSI Japan, SSI JAPAN 巨根膨張の極男士增大膏, 【男性用】巨根膨張の極第2 代, 【男性用】巨根膨張至極2催情高潮潤滑液, 日本SSI JAPAN潤滑凝膠50倍【男性用】巨根膨張至極2",N,N,,,Y,SSI Japan,N,160,128,,0,0,0,0,0,N,,36.74,SSI-C025,14,+0,1,,,,,,,,,,,,,,,,,,,,,4582137935371,604b23381f356a0026999ac4,Primary,12385573e07fde07d8da3c0b90326791,1cf1ca866d7e708d59c9926d5cfe7fdc
604b2bc594133a003b544541,SSI Japan Women Orgasm Capsule Relax 3's Pack,SSI Japan 女性潮吹膠囊 玫瑰味 3粒裝,,,SSI Japan Women Orgasm Capsule Relax 3's Pack,SSI Japan 女性潮吹膠囊 玫瑰味 3粒裝,,SSI Japan 女性潮吹膠囊 玫瑰味 3粒裝日本暢銷性慾增強產品粉紅色：放鬆款玫瑰油混合，在優雅的氣息中得到放鬆都是使用對身體也很溫和及安全的精油。使用方法：-只需在性事前20分鐘將1粒膠囊顆粒，放入女性陰道內，幾分鐘後自然融化。 -女士會感到一股快感在陰部開始漫延！其慾望會倍增，您要做的就是用手或配合按摩棒去刺激她敏感位置，女性將會洪水氾濫，更容易引發潮吹！***本產品並非口服膠囊，只供外用***規格：數量：3粒產地：日本,"SSI Japan 女性熱感潮吹膠囊3粒裝, SSI Japan 女性冰感潮吹膠囊3粒裝, SSI Japan 女用潮吹膠囊(標準) - 3粒裝, SSI JAPAN 女性潮吹覺醒片膠囊, SSI Japan 女用潮吹膠囊(冰感) - 3粒裝, 女士專用冰涼感潮吹膠囊3 顆裝",N,N,,,Y,SSI Japan,N,230,218,,0,0,0,0,168,N,,66.93,SSI-C012,43,+0,1,,,,,,,,,,,,,,,,,,,,,4571136196272,604b2bc694133a003b544547,Primary,2bedb05529cc170db03493c885751be3,6f381b6caa5e7b680e1aeb6b5923af48
604b396cbbc168002fc594a6,Crescente CR_001 Lace Bondage Black,Crescente CR_001 蕾絲調教束縛 黑色,,,Crescente CR_001 Lace Bondage Black,Crescente CR_001 蕾絲調教束縛 黑色,"  Lace and string dress to make the body line look more beautifulNude, full-string sexy and provocative suitInvite you to spend a special time【product content】-Black lace bondage bikiniSize: M【caution】Designs such as embroidery ma",蕾絲和細繩連衣裙，使身體線條看起來更漂亮裸露，全弦性感挑釁的套裝邀請你們度過特別的時光【產品內容】-黑色蕾絲束縛比基尼尺寸：女士M【請注意】諸如繡花之類的設計可能會因批次而異。由於它是進口產品，因此縫紉和線加工可能很粗糙。如果潮濕存放或與其他物品長時間存放，可能會發生顏色轉移。包裝尺寸（mm）H290 x W180 x D20,"sm束縛面罩,  束縛捆綁透視, 奴隸調教束縛套裝, 黑色真皮蕾絲, 調教, 調教情趣, 黑色蕾絲調教, 束縛蕾絲內衣, 綑綁調教,",N,N,,,Y,,N,198,160,,0,0,0,0,130,N,,90.79,TOY-9907701,9,+0,1,,,,,,,,,,,,,,,,,,,,,4573433000016,604b396cbbc168002fc594aa,Primary,06bca57dbdee4b475481a901fdfa810d,9e44b838fb7658ad36aae3abb49ac181
604b41e0c985b4002f75d38e,TENGA Men's Charge High Purity Energy Jelly Drink,TENGA Men’s Charge 高純度能量啫喱飲料 水果味,"A high-purity energy jelly drink that men drink before a date or when they want to do their best today.
An exciting fruit flavor that contains plenty of 18 kinds of ingredients that are effective for the lower body of men, such as arginine, citrulline, and zinc yeast, as well as guarana and maca!",男士們！為你的約會注入活力！發揮自身最強力量。,TENGA Men's Charge,TENGA Men’s Charge 高純度能量啫喱飲料,"A high-purity energy jelly drink that men drink before a date or when they want to do their best today. An exciting fruit flavor that contains plenty of 18 kinds of ingredients that are effective for the lower body of men, such as",男士們！為你的約會注入活力！ 發揮自身最強力量。  以精氨酸、瓜氨酸及鋅酵母為主要成分，添加了瓜拉那和瑪卡等有益於男性功能健康的18種營養成分。 約會前飲用，在關鍵時刻為你迅速補充能量，發揮自身最強力量！ 適用人士： 於約會前需要補充能量人士。常服用有助增強體魄表現。  ◎ 日本製造 ◎ 高純度能量啫喱飲品 ◎ 精氨酸﹑瓜氨酸，以及亜鉛酵母等18種成分 ◎ 水果口味 ◎ 40g ◎ 賞味期限:製造日期後24個月 (請勿存放於會受日光直射高温多濕之場所),"TENGA | Men's Charge 高純度能量啫喱飲料（10件裝）, 日本Tenga Men's Charge 高純度馬卡補充劑, 日本Tenga Men's Charge 高純度能量啫喱飲料, TENGA MEN'S CHARGE 高純度能量飲料, TENGA MEN'S CHARGE【高純度能量啫喱飲品】",N,N,,,Y,TENGA,N,58,46,,0,0,0,0,0,N,,18.72,WD0001911,83,+0,1,,,,,,,,,,,,,,,,,,,L3215,,4560220555279,604b41e1c985b4002f75d393,Primary,6e9024dd4ae5973aff2378e7fbcac8cc,2d413681aab21a3cc3f7f4141aeeb22a
604b5afd1f356a001499a9df,Magic eyes Suziman Kupa Lolinco Mocchiri Masturbator,Magic eyes 純潔注意 婚紗蘿莉子 動漫飛機杯,,,Magic Eyes Suziman Kupa Lolinco Mocchiri Masturbator,Magic Eyes 純潔注意 婚紗蘿莉子 (すじまんくぱぁ ろりんこ)  動漫飛機杯,"Diameter (cm): 8Length (cm): 16.5Material: TPEBrand: Magic EyesCountry: JapanSuziman Kupa Lolinco Mocchiri Soft, is the latest in the Sujiman camel toe masturbator toys with snug, tight vacuum holes and a beautiful pair of pussy l",直徑(厘米): 8長度(厘米): 16.5材料: 熱塑性彈性體品牌: Magic Eyes國家: 日本,"日本MagicEyes 純潔注意婚紗蘿莉子夾吸自慰器, Venus精品 日本MagicEyes 純潔注意婚紗蘿莉子處女膜, magic eyes新娘宫,",N,N,,,Y,Magic Eyes,N,278,0,,270,0,0,0,0,N,,86.29,MGC-053,10,+0,1,,,,,,,,,,,,,,,,,,,,,4571324240831,604b5afe1f356a001499a9e4,Primary,110255e1b912bd1f39a00619b11f61ec,4e6c0d652b59541736f72d561b40efb0
604c5b30c1ce6b00291bf2c5,SN-407 Virgin Clothes x Ultimate Temptation,SN-407 童貞服x終極誘惑,*Stockings does not included in the product  *,*產品不包括絲襪*,NT-407 Virgin Clothes x Ultimate Temptation,NT-407 童貞服x終極誘惑,,,"SN-407 童貞服x終極誘惑, SN-407 Virgin Clothes x Ultimate Temptation",N,N,,,Y,,N,258,0,,0,0,0,0,0,N,,89,,6,+0,1,,,,,,,,,,,,,,,,,,,,,98000295,604c5b30c1ce6b00291bf2cb,Primary,b4c0f85355b743866865ace4bdfc168e,2f654851c6511ad261304c7749870466
