Product ID (DO NOT EDIT),Product Name (English),Product Name (Traditional Chinese),Product Summary (English),Product Summary (Traditional Chinese),SEO Title (English),SEO Title (Traditional Chinese),SEO Description (English),SEO Description (Traditional Chinese),SEO Keywords,Hidden Product,Preorder Product,Preorder Note (English),Preorder Note (Traditional Chinese),Status,Brand,Hide Price,Regular Price,Sale Price,Product Retail Store Price,Member Price,Bronze Member Price,Silver Member Price,Gold Member Price,批發商戶 Price,Unlimited Quantity,Same Price,Product Cost,SKU,Quantity (DO NOT EDIT),Update Quantity (e.g. +5 or -8),Weight(KG),Supplier,Product Tag,Variant ID (DO NOT EDIT),Variant (English) (DO NOT EDIT),Variant (Traditional Chinese) (DO NOT EDIT),Variant Quantity (DO NOT EDIT),Update Variant Quantity (e.g. +5 or -8),Variant Price,Variant Sale Price,Variant Retail Store Price,Variant Member Price,Variant Bronze Member Price,Variant Silver Member Price,Variant Gold Member Price,Variant 批發商戶 Price,Variant Cost,Variant Weight(KG),Variant SKU,Location ID,MPN,Barcode,SL_STOCK_ID(DO NOT EDIT),Warehouse(DO NOT EDIT),SL_KEY0(DO NOT EDIT),SL_KEY1(DO NOT EDIT)
商品編號 （切勿更改),商品名稱 (英文),商品名稱 (繁體中文),商品摘要 (英文),商品摘要 (繁體中文),SEO標題 (英文),SEO標題 (繁體中文),SEO簡介 (英文),SEO簡介 (繁體中文),SEO關鍵字,隱藏商品,預購商品,預購提示 (英文),預購提示 (繁體中文),上架狀態,商品品牌,隱藏價格,商品原價,商品特價,實體店價格,商品會員價,銅級會員價,銀級會員價,金級會員價,批發商戶價,無限數量,價格一致,商品成本,商品貨號,數量 (參考用，請勿修改),增減數量 (例: +5 或 -8),重量(公斤),供應商,商品管理標籤,款式編號 （切勿更改),款式 (英文) (勿更改),款式 (繁體中文) (勿更改),款式數量 (參考用，請勿修改),增減款式數量 (例: +5 或 -8),款式價格,款式特價,款式實體店價格,款式會員價,款式銅級會員價,款式銀級會員價,款式金級會員價,款式批發商戶價,款式成本,款式重量(KG),款式貨號,儲位編號,製造編號,商品條碼編號,庫存參照值(切勿更改),出貨倉庫(參考用，請勿修改),商品名稱參照值0(切勿更改),商品名稱參照值1(切勿更改)
5fc37533a7c9ab002fa5c3c6,KMP PREMIUM HOLE Ayaka Tomoda Masturbator,KMP PREMIUM HOLE 友田彩也香 女優名器飛機杯,,,KMP PREMIUM HOLE Ayaka Tomoda Masturbator,KMP PREMIUM HOLE 友田彩也香 女優名器飛機杯,"High-quality new materials, super like real skin texture! The popular actress Ayaka Tomoda endorses a masturbation device with a real inverted appearance and a tight channel! Powerful suction and excellent hand-held feeling, inser",高品質新素材，超像真真人肌膚質感！ 人氣女優友田彩也香代言自慰器，真實倒模外型，通道緊緻！ 強大的吸啜力和絕妙的手持感，插入長約11cm，是Premium Hole系列的中型名器。 非常適合Fans收藏或新手使用。  - 產品尺寸：H85 x W81 x D135mm 約335g - 外部尺寸：H170 x W110 x D85mm 約450g - 可插入長度 11CM  - 含20毫升潤滑液  重量：335g  日本進口,"KMP PREMIUM HOLE 友田彩也香 飛機杯,  友田彩也香 飛機杯, 友田彩也香 名器",N,N,,預購,Y,KMP,N,218,0,,188,0,0,0,0,N,,65,TOY-9001145,2,+0,1,,,,,,,,,,,,,,,,,,,,,4582588267267,5fc37533a7c9ab002fa5c3ca,Primary,1782982c3b2cf761e7e093679b442fe2,5d64308f4bcd9075cf5bfb1dd3b72e64
5fc37dc4790ea2002981fe57,SN-211 Backless Temptation,SN-211 露背誘惑,,,NT-207 Backless Temptation,NT-207 露背誘惑,One size fit all,大小：一個尺寸適合所有人,,N,N,,預計一到兩星期發貨，或者可以DM查詢詳細庫存,Y,,N,269,0,,0,0,0,0,0,N,,44,,2,+0,1,,,,,,,,,,,,,,,,,,,,,98000226,5fc37dc5790ea2002981fe5b,Primary,ab87556084588505f3573b9a5156423a,fb2bb206b48faeff5fb8d37d5e99e664
5fc37fd41f9f20003825d057,SN-503 Sakura Love,SN-503 櫻花之戀,Belt Color: Random (Pink bow / Belt with the same pattern),腰帶顏色：隨機 (粉色蝴蝶結/同花紋腰帶),NT-266 Sakura Love,NT-266 櫻花之戀,One size fit all,大小：一個尺寸適合所有人,"NT-266 , 櫻花之戀",N,N,,預計一到兩星期發貨，或者可以DM查詢詳細庫存,Y,SpicKini,N,238,0,,0,0,0,0,0,N,,50,,6,+0,1,,,,,,,,,,,,,,,,,,,,,71801537,5fc37fd51f9f20003825d05b,Primary,5cd11cf662abf9c93ed2185da89a2708,1becf7aec2804e2b5ae3835c9e0cfa25
5fc386a4f6cd5400266665d5,Palm Power Pocket-Mini Rechargeable Stick,Palm Power Pocket 迷你AV震動按摩棒,,,Palm Power Pocket-Mini Rechargeable Stick,Palm Power Pocket 迷你AV震動按摩棒,"The classic mini massager (small steel cannon), the short and powerful mini massager is very powerful!Small and cute, a toy that can be grasped with one hand, very suitable for gifts for personal useThe flexible big head can adjus",經典迷你按摩器 (小鋼炮)，短小精悍迷你按摩器中威力非常強大！小巧可愛，一手可以掌握的玩具，送禮自用非常適合靈活的大頭可稍稍調節角度，更完美貼合身體，製造強烈快感附送可拆卸的矽膠套，矽膠薄套讓你感受柔和震動特色： - 7個震動模式選擇- 簡單一鍵按鈕，新手快速入門- 防濺水但不能在水中使用- 附送一個隱密的小收納盒- USB充電,"Palm Power Pocket, 迷你AV震動按摩棒",N,N,"This product is a pre-order product. It will arrive in about 7-14 working days, please wait patiently! (AVAILABLE does not mean in stock)",此商品為預購商品，大約7-14工作天到貨，請耐心等候！（尚有庫存不代表有現貨）,Y,Palm Power,N,298,0,,0,0,0,0,0,N,,140.2,PA112YF80,7,+0,1,,,,,,,,,,,,,,,,,,,E27580,,677613308283,5fc386a5f6cd5400266665da,Primary,34db6a35b207ed0245cebc5f5071352e,e3e8bf36900075ce51769f49b7b3995c
5fc4a223b7e3b3003250af33,A-One Strap-On Simulation Penis,A-One 穿戴式仿真陽具,,,A-ONE Strap-On Simulation Penis,A-ONE 穿戴式仿真陽具,,一款非常方便的穿戴式仿真陽具產品，整體用尼龍物料製造，設有多個調較鬆緊的位置，能式盒大部份人的體型，讓你穿戴時感到分外舒適。產品本身亦附送了一枝高真實感的陽具，長16cm，直徑約3.5cm，帶有吸盤，可獨立使用。客人亦可按照自己的喜好更換不同大小的陽具，非常方便。- 可輕易調較鬆緊- 最大腰圍54吋- 附送金钃鎖定環1個，直徑4.5cm- 附送彈性橡膠鎖定環2個，直徑為3.5cm和5cm- 能自由替換不同大少的陽具- 附送仿真陽具一枝- 直徑約3.5cm-,"A-ONE , A-ONE 陽具, A-ONE 穿戴式, A-One 皮帶附假陽具, A-ONE 調教穿戴式雙仿真陽具, 日本A-One 穿戴仿真陽具, 日本A-ONE 穿戴式防真陽具, 仿真陰莖, 穿戴式陽具",N,N,,預購商品,Y,A-One,N,288,0,,280,0,0,0,188,N,,86.49,TOY-9909229,1,+0,1,,,,,,,,,,,,,,,,,,,,,4573432991230,5fc4a224b7e3b3003250af36,Primary,c567663a5d5939ceef3622f36600782e,b6910d8fdcad011accd98aef8a63ad76
5fc4ec013723ce00175af55b,TENGA Aero Masturbator,TENGA Aero 轉盤吸力控制飛機杯,,,TENGA Aero Masturbator,TENGA Aero 轉盤吸力控制飛機杯,"New Development! AERO structure By turning the main body's dial, you can control how the suction feels! You can adjust the vacuum and tighten to your liking!  Embedding Ring Gel A highly elastic ring embedded in the gel body suppr",新開發！AERO結構 通過轉動主體的轉盤，您可以控制吸力的感覺！您可以根據自己的喜好調節真空度並擰緊！AERO結構通過轉動主體的轉盤，您可以控制吸力的感覺！您可以根據自己的喜好調節真空度並擰緊！嵌入環凝膠嵌入凝膠體內的高彈性環，可抑制空氣從內部洩漏，創造纏繞的樂趣。TENGA AERO有兩種型號，細節有所不同！請根據您的喜好購買。SILVER RING：糾結的螺絲樂趣！COBALT RING：吸吮的樂趣！注意事項可以清洗並反複使用。,"TENGA Aero, TENGA Aero Silver Ring, TENGA Aero Silver Ring 轉盤吸力控制, 飛機杯, TENGA 飛機杯, TENGA AERO, TENGA Aero Cobalt Ring , TENGA COBALT",N,N,,,Y,TENGA,N,458,438,,0,0,0,0,0,N,Y,221.05,,18,,1,,,628c5e97ed90de0027d9e854,Cobalt Ring (Blue),鈷藍環,3,+0,價格一致,價格一致,價格一致,價格一致,價格一致,價格一致,價格一致,價格一致,價格一致,1.5,3070,,,4570030972692,628c5e97ed90de0027d9e85c,Primary,e1367025947d5be62970d543e6b4d52f,5cf06191da0283801357cedbf18f6e72
5fc4ec013723ce00175af55b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628c5e97ed90de0027d9e855,Silver Ring,銀灰環,13,+0,價格一致,價格一致,價格一致,價格一致,價格一致,價格一致,價格一致,價格一致,價格一致,1.5,3069,,,4570030972685,628c5e97ed90de0027d9e861,Primary,211d37a950b58b87eea38d4e460f2104,362d7db622ed789cffdb9d23582bb9d8
5fc5caacba4638003eeaefc8,Bijoux Indiscrets - Magnifique Tickler Pendant Silver,Bijoux Indiscrets Magnifique 奢華挑逗吊墜 銀色,,,Bijoux Indiscrets - Magnifique Tickler Pendant Silver,Bijoux Indiscrets Magnifique 奢華挑逗吊墜 銀色,"Necklace with a mini-whip shape finish. Perfect with your favourite looks, lingerie or bare skin alone.Accessories inspired by the New York cabaret dancers of the 1920s: non-conformist, sensual and striking women...Features:- 100%",迷你首飾造型，完美襯托你的衣著打扮設計靈感啟發自紐約1920年代的舞者：大膽脫俗、性感、惹人注目特色：- 100% 可以調較長度- 完美的首飾，完全不會發現是情趣用品- 吊墜底部的流蘇可用作挑逗用途，撫摸你每一吋肌膚- 全屬不含鎳，不會引起過敏反應- 由Bijoux Indiscrets 團隊設計,"Bijoux Indiscrets Magnifique, Magnifique Tickler Pendant , 西班牙-BIJOUX INDISCRETS-TICKLER PENDANT CHAIN 飾物,  Magnifique · Tickler Pendant Chain Silver,挑逗吊墜",N,N,,,Y,Bijoux Indiscrets,N,398,348,,0,0,0,0,0,N,,149.27,E28449,2,+0,1,,,,,,,,,,,,,,,,,,,,,8436562011802,5fc5caacba4638003eeaefcd,Primary,c0145cb0df7c36f2e0578c5a1d765eb7,7ffa9de40e8ec8ff8897cc327579f1b7
5fc5cdbaaa6947003b2bf5a4,Bijoux Indiscrets Shhh Blindfold,Bijoux Indiscrets Shhh 蒙眼罩,,,Bijoux Indiscrets Shhh Blindfold,Bijoux Indiscrets Shhh 蒙眼罩,"It is proven that when your eyes are covered your other senses are heightened. Shhh blindfold is the perfect ally for a sensual massage. No need to be a pro in the art of massage, touch lightly or press firmly on feet, back, arms ","當你的視覺被遮敝，你其它的感官會變得更敏銳。Shhh 蒙眼罩是進行親密按摩的最佳工具，你無需要是按摩大師，只需要為伴侶戴上眼罩，再輕輕觸撫伴侶敏感帶，已經足夠產生挑逗作用了Shhh 蒙眼罩不只是蒙住眼睛，更有一種性暗示的意味。蒙上眼罩，然後盡情發揮你腦海中的想象吧，嘻嘻~內容物：- 緞面眼罩印有 ""Shh...""字樣","Bijoux Indiscrets Shhh, Bijoux Indiscrets, Bijoux Indiscrets Blindfold,Shhh Blindfold, Bijoux Indiscrets 眼罩, 眼罩, 蒙眼罩, SM 眼罩, SM 蒙眼罩,",N,N,,,Y,Bijoux Indiscrets,N,168,0,,0,0,0,0,0,N,,58.75,E21768,6,+0,1,,,,,,,,,,,,,,,,,,,,,8437008001098,5fc5cdbaaa6947003b2bf5a9,Primary,99745e3663acfab1cecabe0fe5f4dc64,30ff801ebf52dc241550762199025323
